Code;Inbounder;Supplier;Product;ShowWeb;Preferred_service;Beschrijving_kort;Beschrijving_lang;Contact_persoon;Contact_email;Contact_phone;Klant_phone;Klant_email;Locatie_stad;Locatie_straat;Locatie_land;Datum_contact_aangepast
CRLLAK;PANP;;Crater Lakes Rainforest Cottages;0;Incl. Ontbijtproviand;;;;;;;;Atherton Tablelands;;AU;
CREELHOTPO;PANP;;Creel House;0;Incl. Ontbijt;;;;;;;;Tekapo;;NZ;
HOLIDAYBUBUR;PANP;;Crown Promenade Hotel Perth;0;Incl. Ontbijt;;;;;;;;Perth;;AU;
LASASP;PANP;;Crowne Plaza Alice Springs Lasseters;0;Logies;;;;;;;;Alice Springs;;AU;
CENMEL;PANP;;Crowne Plaza Melbourne;0;Logies;;;;;;;;Melbourne;;AU;
PARKPER;PANP;;Crowne Plaza Perth;0;Logies;;;;;;;;Perth;;AU;
CULGOA;PANP;;Culgoa Point Beach Resort;0;Logies;;;;;;;;Noosa;;AU;
CUMGOR;PANP;;Cumberland Lorne Resort;0;Logies;;;;;;;;Lorne;;AU;
CURIOBAY;PANP;;Curio Bay Accommodation;0;Logies;;;;;;;;The Catlins;;NZ;
CURTALI;PANP;;Curtin Springs Wayside Inn & Station;0;Logies;;;;;;;;Alice Springs;;AU;
DHHMAG;PANP;;Daggoombah Holiday House;0;Logies;;;;;;;;Magnetic Island;;AU;
DCHDAI;PANP;;Daintree Cascades Holiday Houses;0;Logies;;;;;;;;Daintree NP;;AU;
DAIWILDLOD;PANP;;Daintree Wilderness Lodge;0;Incl. Ontbijt;;;;;;;;Daintree NP;;AU;
DALTONSREHGP;PANP;;D'altons Resort;0;Logies;;;;;;;;Halls Gap;;AU;
DALYDAL;PANP;;Daly Waters Historic Pub;0;Logies;;;;;;;;Daly Waters;;AU;
DESPASP;PANP;;Desert Palms Alice Springs;0;Logies;;;;;;;;Alice Springs;;AU;
DEVMAR;PANP;;Devils Marbles Hotel;0;Logies;;;;;;;;Devils Marbles;;AU;
DIAMONDISBIC;PANP;;Diamond Island Resort;0;Logies;;;;;;;;Bicheno;;AU;
DISSETWHA;PANP;;Discovery Settlers Whangarei;0;Logies;;;;;;;;Whangarei;;NZ;
LUXTEU;PANP;;Distinction Luxmore Hotel;0;Logies;;;;;;;;Te Anau;;NZ;
GRANROT;PANP;;Distinction Rotorua;0;Logies;;;;;;;;Rotorua;;NZ;
ALPINERESWKA;PANP;;Distinction Wanaka Serviced Apartments;0;Logies;;;;;;;;Wanaka;;NZ;
KINGSWHA;PANP;;Distinction Whangarei Hotel;0;Logies;;;;;;;;Whangarei;;NZ;
DOLPHINSAHUS;PANP;;Dolphin Sands Bed And Breakfast;0;Incl. Ontbijt;;;;;;;;Jervis Bay;;AU;
RYDPLAASP;PANP;;Doubletree By Hilton Alice Springs;0;Logies;;;;;;;;Alice Springs;;AU;
HOLCNS;PANP;;Doubletree By Hilton Cairns;0;Logies;;;;;;;;Cairns;;AU;
KAWHOTHILT;PANP;;Doubletree By Hilton Queenstown;0;Logies;;;;;;;;Queenstown;;NZ;
DRYSDALERKNX;PANP;;Drysdale River Station;0;Logies;;;;;;;;Drysdale;;AU;
DULHALL;PANP;;Dulc Cabins;0;Logies;;;;;;;;Halls Gap;;AU;
BREAKFREEBYB3;PANP;;Eco Beach Resort Byron Bay;0;Logies;;;;;;;;Byron Bay;;AU;
BREAKFREEBYB4;PANP;;Eco Beach Resort Byron Bay;0;Logies;;;;;;;;Byron Bay;;AU;
BREAKFREEBYB5;PANP;;Eco Beach Resort Byron Bay;0;Logies;;;;;;;;Byron Bay;;AU;
 ECONOAKL;PANP;;Econo Lodge City Central Hotel;0;Logies;;;;;;;;Auckland;;NZ;
 ECOSCAPE;PANP;;Ecoscapes;0;Logies;;;;;;;;Glenorchy;;NZ;
EHTYQ0;PANP;;Eden House Retreat;0;Incl. Ontbijtproviand;;;;;;;;Atherton Tablelands;;AU;
EDGEWKA;PANP;;Edgewater Resort;0;Logies;;;;;;;;Wanaka;;NZ;
ELQKNX;PANP;;El Questro Wilderness Park;0;;;;;;;;;El Questro Station;;AU;
 ELIZCHC;PANP;;Eliza's Manor Boutique Hotel;0;Incl. Ontbijt;;;;;;;;Christchurch;;NZ;
EMEHER;PANP;;Emeraldene Inn And Eco-lodge;0;Logies;;;;;;;;Hervey Bay;;AU;
ESPPER;PANP;;Esplanade Hotel Fremantle By Rydges;0;Logies;;;;;;;;Perth;;AU;
EXEESC;PANP;;Exmouth Escape Resort;0;Logies;;;;;;;;Exmouth;;AU;
 TENNNPE;PANP;;Expressotel Napier;0;Logies;;;;;;;;Napier;;NZ;
FAIRBMT;PANP;;Fairmont Resort And Spa Blue Mountains;0;Logies;;;;;;;;Leura;;AU;
FITZFIT;PANP;;Fitzroy Island Resort;0;Logies;;;;;;;;Fitzroy Island;;AU;
 FITZLODGE;PANP;;Fitzroy River Lodge;0;Logies;;;;;;;;Fitzroy Crossing;;AU;
FRANKSTR;PANP;;Franklin Manor;0;Incl. Ontbijt;;;;;;;;Strahan;;AU;
FREYFNP;PANP;;Freycinet Lodge;0;Incl. Ontbijt;;;;;;;;Coles Bay;;AU;
FREYECO;PANP;;Freycinet Resort;0;Incl. Ontbijtproviand;;;;;;;;Coles Bay;;AU;
 GLAWHO;PANP;;Glacier View Motel;0;Logies;;;;;;;;Franz Josef;;NZ;
GLAGLA;PANP;;Glass On Glasshouse;0;Incl. Ontbijtproviand;;;;;;;;Glasshouse Mountains;;AU;
GLASSMOUNGLA;PANP;;Glasshouse Mountains Ecolodge;0;Logies;;;;;;;;Glasshouse Mountains;;AU;
GLENHELEN;PANP;;Glen Helen Lodge;0;Incl. Ontbijt;;;;;;;;Glen Helen;;AU;
GLENFERNVWHO;PANP;;Glenfern Villas;0;Logies;;;;;;;;Franz Josef;;NZ;
GRACESYD;PANP;;Grace Hotel Sydney;0;;;;;;;;;Sydney;;AU;
CARLAKL;PANP;;Grand Millennium Auckland;0;Logies;;;;;;;;Auckland;;NZ;
 GORANG;PANP;;Great Ocean Road Resort;0;Incl. Ontbijt;;;;;;;;Torquay;;AU;
GREENACREHPS;PANP;;Greenacres Chalets & Villas;0;Logies;;;;;;;;Hanmer Springs;;NZ;
GREENCATLINS;PANP;;Greenwood Farmstay;0;Incl. Ontbijt;;;;;;;;The Catlins;;NZ;
HABCNS;PANP;;Habitat Noosa Everglades Ecocamp;0;Logies;;;;;;;;Noosa;;AU;
HAMPAL;PANP;;Hamilton Island Resort;0;;;;;;;;;Hamilton Island;;AU;
REEFHTI;PANP;;Hamilton Island Resort;0;;;;;;;;;Hamilton Island;;AU;
HBRRSYD;PANP;;Harbour Rocks Hotel Sydney;0;Logies;;;;;;;;Sydney;;AU;
HARBOURVITAI;PANP;;Harbour View Lodge Bed And Breakfast;0;Incl. Ontbijt;;;;;;;;Tairua;;NZ;
HAVPUN;PANP;;HavenZ;0;Logies;;;;;;;;Punakaiki;;NZ;
VENTUR;PANP;;Heartland Hotel Auckland Airport;0;Logies;;;;;;;;Auckland;;NZ;
COTSCHC;PANP;;Heartland Hotel Cotswold;0;Logies;;;;;;;;Christchurch;;NZ;
ALINZQN;PANP;;Heartland Hotel Queenstown;0;Logies;;;;;;;;Queenstown;;NZ;
HENROCK;PANP;;Henderson Park Farm Retreat;0;Logies;;;;;;;;Rockhampton;;AU;
HERDAI;PANP;;Heritage Lodge In The Daintree;0;Incl. Ontbijt;;;;;;;;Daintree NP;;AU;
HILTQUEEN;PANP;;Hilton Queenstown;0;;;;;;;;;Queenstown;;NZ;
CENAPTMEL;PANP;;Holiday Inn Melbourne Airport;0;Logies;;;;;;;;Melbourne;;AU;
 CENTROT;PANP;;Holiday Inn Rotorua;0;Logies;;;;;;;;Rotorua;;NZ;
HOLLY;PANP;;Holly Homestead B&B;0;Incl. Ontbijt;;;;;;;;Franz Josef;;NZ;
HOSCARN;PANP;;Hospitality Carnarvon;0;Logies;;;;;;;;Carnarvon;;AU;
248217;PANP;;NRMA Atherton Tablelands Holiday Park;0;Logies;;;;;;;;Atherton Tablelands;;AU;
HINPARKADL;PANP;;Hotel Grand Chancellor Adelaide;0;Logies;;;;;;;;Adelaide;;AU;
 PRESIDEN;PANP;;Hotel Grand Chancellor Auckland City;0;Logies;;;;;;;;Auckland;;NZ;
GCBNE;PANP;;Hotel Grand Chancellor Brisbane;0;Logies;;;;;;;;Brisbane;;AU;
GCHBA;PANP;;Hotel Grand Chancellor Hobart;0;Logies;;;;;;;;Hobart;;AU;
HOUGFMT;PANP;;Hougoumont Hotel;0;Incl. Ontbijt;;;;;;;;Fremantle;;AU;
HUNRESHUN;PANP;;Hunter Valley Resort;0;;;;;;;;;Pokolbin;;AU;
SHBMN0;PANP;;Huskisson Bayside Resort;0;Logies;;;;;;;;Huskisson;;AU;
SHBMN1;PANP;;Huskisson Bayside Resort;0;Logies;;;;;;;;Huskisson;;AU;
SHBMN2;PANP;;Huskisson Bayside Resort;0;Logies;;;;;;;;Huskisson;;AU;
HYAPER;PANP;;Hyatt Regency Perth;0;;;;;;;;;Perth;;AU;
 IBIADL;PANP;;Ibis Adelaide;0;Logies;;;;;;;;Adelaide;;AU;
FORAKL;PANP;;Ibis Budget Auckland Central;0;Logies;;;;;;;;Auckland;;NZ;
IBISCHRISCHC;PANP;;Ibis Christchurch;0;Logies;;;;;;;;Christchurch;;NZ;
 IBISMEL;PANP;;Ibis Melbourne Hotel And Apartments;0;Logies;;;;;;;;Melbourne;;AU;
IBISPER;PANP;;Ibis Perth;0;Logies;;;;;;;;Perth;;AU;
ISBBNE;PANP;;Ibis Styles Brisbane Elizabeth Street;0;Logies;;;;;;;;Brisbane;;AU;
